worktree	saved_ref	local_only_files
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/data-i-istoria-kletki [zahod/data-i-istoria-kletki]	origin/park/2026-09-25/wt-data-i-istoria-kletki	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/dozabivka-dolgov-sklejki [zahod/dozabivka-dolgov-sklejki]	origin/dizajn-dobivka	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/dver-sekretov-spisok [zahod/dver-sekretov-spisok]	origin/main	ignored files not on GitHub: secrets/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/gejt-pravda [zahod/gejt-pravda]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/glavnaya-i-stranicy-listkov [zahod/glavnaya-i-stranicy-listkov]	origin/park/2026-09-25/wt-glavnaya-i-stranicy-listkov	ignored files not on GitHub: data/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/istoria-zanyatij [zahod/istoria-zanyatij]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/kabinet-na-den [pravka/kabinet-na-den]	origin/park/2026-09-25/wt-kabinet-na-den	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/kabinet-plitki [zahod/kabinet-plitki]	origin/main	ignored files not on GitHub: data/spetsmat.db
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/kanon-verstki [zahod/kanon-verstki]	origin/park/2026-09-25/wt-kanon-verstki	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/karkas-menyu-kabinet [zahod/karkas-menyu-kabinet]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/konduit-panel [zahod/konduit-panel]	origin/park/2026-09-25/wt-konduit-panel	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/konduit-shirina [pravka/konduit-shirina]	origin/park/2026-09-25/wt-konduit-shirina	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/konduit-vid [pravka/konduit-vid]	origin/park/2026-09-25/wt-konduit-vid	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/lichnaya-stranica-prepodavatelya [zahod/lichnaya-stranica-prepodavatelya]	origin/dizajn-dobivka	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/lichnoe-v-kartochke [pravka/lichnoe-v-kartochke]	origin/park/2026-09-25/wt-lichnoe-v-kartochke	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/listki-kak-baza-zadach [listki-kak-baza-zadach]	origin/dizajn-dobivka	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal;data/spetsmat.db.proba
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/moi-stroki [pravka/moi-stroki]	origin/park/2026-09-25/wt-moi-stroki	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/oblozhka-listok [pravka/oblozhka-listok]	origin/park/2026-09-25/wt-oblozhka-listok	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/P1-yadro [zahod/P1-yadro]	origin/dizajn-dobivka	ignored files not on GitHub: .venv/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/P16-eksport [zahod/P16-eksport]	origin/dizajn-dobivka	ignored files not on GitHub: data/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/P17-konstanty [zahod/P17-konstanty]	origin/dizajn-dobivka	ignored files not on GitHub: data/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/pages-i-materialy [zahod/pages-i-materialy]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/paroli-shkolnikov [zahod/paroli-shkolnikov]	origin/main	ignored files not on GitHub: secrets/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/poisk-i-kartochka [(detached)]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/pravila-raspredeleniya [zahod/pravila-raspredeleniya]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
