path	size_mb	ext	tracked_in_git
/Users/ivanyakovlev/Documents/Книги/Вероятность/Синай Я.Г. - Введение в эргодическую теорию.pdf	16.1	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teoriya-kategoriy/istochniki/pdf/milewski-category-theory-for-programmers.pdf	15.7	pdf	no
/Users/ivanyakovlev/Documents/Книги/Научпоп/Самойленко - Вероятности и неприятности. Математика повседневной жизни.pdf	14.1	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Научпоп/математические изюминки.pdf	13.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teoriya-kategoriy/istochniki/pdf/lawvere-schanuel-conceptual-mathematics-2ed.pdf	13.6	pdf	no
/Users/ivanyakovlev/Documents/Готовимся к ЕГЭ/fipi/matematika_mr_ege_2025.pdf	13.5	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Геометрия_Топология/Ауриаго, Далгаллер — Введение в риманову геометрию.pdf	13.4	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/matproekty-179/istochniki/I-82-sts-official-rules-2026.pdf	13.2	pdf	no
/Users/ivanyakovlev/Documents/GitHub/matproekty-179/I-82-sts-official-rules-2026.pdf	13.2	pdf	no
/Users/ivanyakovlev/Documents/Книги/Комбинаторика/Данилов - Лекции по теории игр.pdf	13.0	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Пятьдесят занимательных вероятностных задач с решениями.pdf	12.9	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teorver-vvedenie/istochniki/pdf/mosteller-50-zadach.pdf	12.9	pdf	no
/Users/ivanyakovlev/Documents/Книги/Логика и множества/Львовский - Что не так. Математические парадоксы и софизмы.pdf	12.4	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Комбинаторика/PuzzlingThroughExactSequences.pdf	12.1	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Готовимся к ЕГЭ/reference/методички_Часть2/13_Шестаков-Захаров_Уравнения_Задача13.pdf	11.8	pdf	not-a-repo
