path	kind	origin_url	head_branch	default_branch	dirty_tracked	untracked	porcelain_before	porcelain_after	size_mb	first_commit_date	last_commit_date	commit_count	newest_file_mtime	readme_title	funnel_rule	funnel_rule_strict	dup_group	fetch	head_in_default	dotgit_birth	status_err	dirty_class
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dobor-s-mesta	worktree	https://github.com/d1-d57/disciplina.git	zahod/dobor-s-mesta	main	0	1	1	1	287.0	2026-08-06T04:08	2026-09-24T02:43	6766	2026-09-24T02:52	disciplina	R3-park	R3-park		ok	no	2026-09-23T17:56		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dolg-zakrytyj-delom-vozvrashchaetsya-v-dom	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	1	0	1	1	203.0	2026-08-06T04:08	2026-09-13T19:09	3828	2026-09-13T19:12	disciplina	R10-wt-residue	R3-park		ok	yes	2026-09-13T01:49		generated-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dolgi-orkestratora-ishod	worktree	https://github.com/d1-d57/disciplina.git	zahod/dolgi-orkestratora-ishod	main	0	1	1	1	217.4	2026-08-06T04:08	2026-09-21T05:09	5083	2026-09-21T05:12	disciplina	R3-park	R3-park		ok	yes	2026-09-20T23:48		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dolgi-orkestratora-peresud	worktree	https://github.com/d1-d57/disciplina.git	zahod/dolgi-orkestratora-peresud	main	0	1	1	1	222.3	2026-08-06T04:08	2026-09-23T01:38	5566	2026-09-23T01:39	disciplina	R3-park	R3-park		ok	yes	2026-09-23T00:59		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dopolnenie-kak-zapis	worktree	https://github.com/d1-d57/disciplina.git	zahod/dopolnenie-kak-zapis	main	0	2	2	2	213.8	2026-08-06T04:08	2026-09-20T20:38	4756	2026-09-20T20:43	disciplina	R3-park	R3-park		ok	yes	2026-09-20T16:37		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dve-na-odnoj-modeli-2	worktree	https://github.com/d1-d57/disciplina.git	zahod/dve-na-odnoj-modeli-2	main	0	0	0	0	217.4	2026-08-06T04:08	2026-09-21T03:28	5077	2026-09-21T03:30	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-21T03:30		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dve-na-odnoj-modeli-3	worktree	https://github.com/d1-d57/disciplina.git	zahod/dve-na-odnoj-modeli-3	main	0	0	0	0	272.1	2026-08-06T04:08	2026-09-21T17:01	5356	2026-09-21T16:52	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-21T13:52		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dve-na-odnoj-modeli	worktree	https://github.com/d1-d57/disciplina.git	zahod/dve-na-odnoj-modeli	main	0	0	0	0	214.5	2026-08-06T04:08	2026-09-20T18:53	4816	2026-09-20T18:54	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-20T18:53		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dver-nahodki	worktree	https://github.com/d1-d57/disciplina.git	zahod/dver-nahodki	main	0	1	1	1	231.5	2026-08-06T04:08	2026-09-23T14:36	6375	2026-09-23T14:50	disciplina	R3-park	R3-park		ok	yes	2026-09-23T12:47		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dver-verdikta-incidenta	worktree	https://github.com/d1-d57/disciplina.git	zahod/dver-verdikta-incidenta	main	0	1	1	1	222.3	2026-08-06T04:08	2026-09-23T01:49	5563	2026-09-23T01:53	disciplina	R3-park	R3-park		ok	yes	2026-09-23T01:00		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/etap-20-i-perenos	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	0	1	1	1	18.1	2026-08-06T04:08	2026-08-06T20:45	36	2026-08-06T20:45	disciplina	R3-park	R3-park		ok	yes	2026-08-06T19:01		work
