repo_path	branch	has_upstream	ahead	behind	in_default	last_commit_date	checked_out_in
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/dver-verdikta-incidenta	yes	0	0	yes	2026-09-23T01:49	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dver-verdikta-incidenta
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/faza-uborki-razrezana	no	n/a	n/a	yes	2026-09-23T10:50	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/faza-uborki-razrezana
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/gejt-podklyucheniya-lozhnoe-zelenoe	yes	0	0	yes	2026-09-21T14:30	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-podklyucheniya-lozhnoe-zelenoe
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/gejt-postroeno-ne-podklyucheno	yes	0	0	yes	2026-09-21T04:08	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-postroeno-ne-podklyucheno
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/generator-pravila	yes	0	0	yes	2026-09-20T18:12	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/generator-pravila
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/generator-rychaga	yes	0	0	no	2026-09-20T21:20	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/generator-rychaga
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/generator-startovaya-stroka	no	n/a	n/a	yes	2026-09-20T09:22	
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/gigiena-arki-bez-klapanov	no	n/a	n/a	no	2026-09-24T03:06	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gigiena-arki-bez-klapanov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/gigiena-repozitoriya-worktree-vetki-vyvoz	yes	0	0	yes	2026-09-04T00:08	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gigiena-repozitoriya-worktree-vetki-vyvoz
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/git-bez-zamkov	no	n/a	n/a	no	2026-09-23T22:57	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/git-bez-zamkov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/git-zona-zona-shire-kontrakta	no	n/a	n/a	no	2026-09-17T17:03	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/git-zona-zona-shire-kontrakta
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/gromkij-otkaz-podlozhka	yes	0	0	yes	2026-09-23T13:20	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gromkij-otkaz-podlozhka
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-git-po-kontraktu	no	n/a	n/a	no	2026-09-24T02:16	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-git-po-kontraktu
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-obhod-proverok	yes	1	0	no	2026-09-24T10:00	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-obhod-proverok
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-obryv-api	no	n/a	n/a	no	2026-09-24T01:05	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-obryv-api
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-otchyot-pozicii	yes	1	0	no	2026-09-24T08:33	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-otchyot-pozicii
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-porog-konteksta	yes	0	0	no	2026-09-24T05:29	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-porog-konteksta
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-preemnik-zhdyot	no	n/a	n/a	no	2026-09-24T07:49	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-preemnik-zhdyot
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-puti-v-zahodah	no	n/a	n/a	no	2026-09-24T03:01	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-puti-v-zahodah
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-serdce-avto	yes	0	0	no	2026-09-23T21:49	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-serdce-avto
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-snimok-pered-szhatiem	yes	1	0	no	2026-09-24T06:46	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-snimok-pered-szhatiem
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-start-sessii	yes	0	0	no	2026-09-24T10:26	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-start-sessii
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-stop-golovy	no	n/a	n/a	no	2026-09-23T20:13	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-stop-golovy
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-stroka-kruga	no	n/a	n/a	no	2026-09-24T04:48	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-stroka-kruga
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-vyvoz-vetki	no	n/a	n/a	no	2026-09-24T09:28	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-vyvoz-vetki
